btnDoc.btnIstoric	button				Istoric versiuni
btnDoc.btnHelp	button				Asistenta
btnDoc.btnRpt	button				Raporteaza o problema tehnica
btnDoc.btnValid	button				VALIDEAZA FORMULARUL
btnDoc.btnList	button				LISTARE
btnDoc.btnDebloc	button				DEBLOCARE FORMULAR
btnDoc.btnZip	button				ATAȘEAZĂ ARHIVA
btnDoc.btnWait	button				AȘTEPTAȚI UN MOMENT! Datele sunt verific
btnDoc.btnSalt	button			Click pentru salt la butonul 'VALIDEAZA DATE PRIVIND ASOCIATII/ ADMINI	VALIDEAZĂ DATE PRIVIND ASOCIATII / ADMIN
Antet.IdDoc.universalCode	textEdit		protected		
Antet.IdDoc.formValid	textEdit		protected		
Antet.IdDoc.sgn	signature		protected		Semnatura
Antet.nr_evid	textEdit		readOnly	protected	Nr.de evidenţă a  plăţii
Antet.opInterne.mtdSimplificata	checkButton			Formular rectificativ	Se aplica metoda simplificata pentru ope
Antet.metaDate.an_r	textEdit	error		Anul	Anul (aaaa)
Antet.metaDate.totalPlata_A	numericEdit		readOnly		Suma de control:
Antet.metaDate.tipDecont	choiceList	error			Perioada de raportare
Antet.metaDate.luna_r	choiceList	error			Luna
Antet.metaDate.perioada.dataInceput	dateTimeEdit				Data inceput (zz.ll.aaaa)
Antet.metaDate.perioada.dataSfarsit	dateTimeEdit				Data sfarsit (zz.ll.aaaa)
Antet.metaDate.d_rez	checkButton			Formular rectificativ	Declaraţie depusă după anularea  rezerve
Antet.metaDate.d_scc	checkButton			Formular rectificativ	Declarație depusă potrivit art.90 alin.(
Antet.metaDate.d_rec	checkButton				Declaraţie rectificativă
Antet.temeiLegal	choiceList			A.1. Denumire	Temeiul legal  (Lege 207/2015  privind C
Antet.cifS	textEdit			A.2. Cod de identificare fiscală	Cod de identificare fiscală a succesorul
Antet.d_reprezentant	checkButton				Decont consolidat de TVA, depus de repre
identifCntr.denumire.den	textEdit	error		A.1. Denumire	A.1.Denumire
identifCntr.denumire.cif	textEdit	error		A.2. Cod de identificare fiscală	A.2.Cod de identificare fiscală
identifCntr.adresa.str	textEdit			B.4.Strada	A.3.Strada
identifCntr.adresa.nr	textEdit			B.5.Numar	A.4.Număr
identifCntr.adresa.loc	textEdit	error		B.3.Localitate	A.5.Localitate
identifCntr.adresa.judet	choiceList	error		B.1.Judeţ	A.6.Judeţ
identifCntr.adresa.sect	choiceList		readOnly	B.2.Sector	A.7.Sector
identifCntr.adresa.bloc	textEdit			B.6.Bloc	A.8.Bloc
identifCntr.adresa.scara	textEdit			B.7.Scara	A.9.Scara
identifCntr.adresa.etaj	textEdit			B.8.Etaj	A.10.Etaj
identifCntr.adresa.apt	textEdit			D.4.8.Apt.	A.11.Apt.
identifCntr.adresa.codPst	textEdit			B.7.Scara	A.12.Cod postal
identifCntr.contact.telefon	textEdit			B.2.Telefon	A.13.Telefon
identifCntr.contact.fax	textEdit			B.3.Fax	A.14. Fax
identifCntr.contact.email	textEdit			B.4.E-mail	A.15. E-mail
identifCntr.banca.den	textEdit	error		A.1. Denumire	A.16.Banca
identifCntr.banca.iban	textEdit	error		A.8.Cont bancar (IBAN)	A.17.Cont bancar (IBAN)
identifCntr.caen	choiceList			Lista coduri CAEN	CAEN 2024
identifCntr.caen1	choiceList			Lista coduri CAEN	CAEN 2025
identifCntr.proRata	numericEdit	error			Pro-rata de deducere %
date.comert.r1.nrCrt	textEdit		protected		
date.comert.r1.c1	textEdit		protected		
date.comert.r1.c2	numericEdit				
date.comert.r1.c3	numericEdit		protected		
date.comert.r2.nrCrt	textEdit		protected		
date.comert.r2.c1	textEdit		protected		
date.comert.r2.c2	numericEdit				
date.comert.r2.c3	numericEdit		protected		
date.comert.r3.nrCrt	textEdit		protected		
date.comert.r3.c1	textEdit		protected		
date.comert.r3.c2	numericEdit				
date.comert.r3.c3	numericEdit		protected		
date.comert.r3_1.nrCrt	textEdit		protected		
date.comert.r3_1.c1	textEdit		protected		
date.comert.r3_1.c2	numericEdit				
date.comert.r3_1.c3	numericEdit		protected		
date.comert.r4.nrCrt	textEdit		protected		
date.comert.r4.c1	textEdit		protected		
date.comert.r4.c2	numericEdit				
date.comert.r4.c3	numericEdit		protected		
date.comert.r5.nrCrt	textEdit		protected		
date.comert.r5.c1	textEdit		protected		
date.comert.r5.c2	numericEdit				
date.comert.r5.c3	numericEdit				
date.comert.r5_1.nrCrt	textEdit		protected		
date.comert.r5_1.c1	textEdit		protected		
date.comert.r5_1.c2	numericEdit				
date.comert.r5_1.c3	numericEdit				
date.comert.r6.nrCrt	textEdit		protected		
date.comert.r6.c1	textEdit		protected		
date.comert.r6.c2	numericEdit				
date.comert.r6.c3	numericEdit				
date.comert.r7.nrCrt	textEdit		protected		
date.comert.r7.c1	textEdit		protected		
date.comert.r7.c2	numericEdit				
date.comert.r7.c3	numericEdit				
date.comert.r7_1.nrCrt	textEdit		protected		
date.comert.r7_1.c1	textEdit		protected		
date.comert.r7_1.c2	numericEdit				
date.comert.r7_1.c3	numericEdit				
date.comert.r8.nrCrt	textEdit		protected		
date.comert.r8.c1	textEdit		protected		
date.comert.r8.c2	numericEdit				
date.comert.r8.c3	numericEdit				
date.livrari.r9.nrCrt	textEdit		protected		
date.livrari.r9.c1	textEdit		protected		
